gbifid	latitude	longitude	presence	wc2.1_2.5m_bio_1	wc2.1_2.5m_bio_2	wc2.1_2.5m_bio_3	wc2.1_2.5m_bio_4	wc2.1_2.5m_bio_5	wc2.1_2.5m_bio_6	wc2.1_2.5m_bio_7	wc2.1_2.5m_bio_8	wc2.1_2.5m_bio_9	wc2.1_2.5m_bio_10	wc2.1_2.5m_bio_11	wc2.1_2.5m_bio_12	wc2.1_2.5m_bio_13	wc2.1_2.5m_bio_14	wc2.1_2.5m_bio_15	wc2.1_2.5m_bio_16	wc2.1_2.5m_bio_17	wc2.1_2.5m_bio_18	wc2.1_2.5m_bio_19
1668887931	32.356522	-110.978583	1	20.4060001373291	15.277999877929688	45.28156661987305	738.7266845703125	37.49599838256836	3.75600004196167	33.73999786376953	29.03333282470703	23.697999954223633	29.510665893554688	11.661333084106445	325	58	5	58.42087936401367	144	20	116	85
1668878947	32.194222	-110.740997	1	19.476333618164062	15.9486665725708	46.628074645996094	729.31085205078125	37.06800079345703	2.864000082015991	34.204002380371094	27.95199966430664	22.75666618347168	28.507999420166016	10.873332977294922	357	68	5	65.77742004394531	172	22	142	86
1438808886	30.2911	-110.721968	1	19.82666778564453	18.639333724975586	54.127464294433594	623.72698974609375	37.540000915527344	3.1039998531341553	34.43600082397461	26.954666137695312	18.771333694458008	27.439332962036133	12.291333198547363	507	140	3	96.57850646972656	307	28	269	102
1500260279	32.24265	-111.052186	1	20.19533348083496	14.52400016784668	44.285888671875	726.0885009765625	36.97599792480469	4.179999828338623	32.795997619628906	28.545333862304688	23.52666664123535	29.116666793823242	11.566666603088379	339	62	5	62.29569625854492	158	21	128	85
1562952252	32.285201	-111.098293	1	20.074832916259766	14.451000213623047	44.176448822021484	727.54217529296875	36.79999923706055	4.0879998207092285	32.711997985839844	28.45400047302246	23.385332107543945	29.007999420166016	11.418000221252441	345	62	5	61.349246978759766	159	21	128	88
1562964812	32.252125	-110.941422	1	20.7358341217041	15.875666618347168	46.15019226074219	742.36798095703125	38.14400100708008	3.74399995803833	34.400001525878906	29.41400146484375	24.089332580566406	29.946666717529297	11.982666969299316	309	56	5	59.517642974853516	140	20	114	77
1562952406	32.281295	-111.09555	1	20.074832916259766	14.451000213623047	44.176448822021484	727.54217529296875	36.79999923706055	4.0879998207092285	32.711997985839844	28.45400047302246	23.385332107543945	29.007999420166016	11.418000221252441	345	62	5	61.349246978759766	159	21	128	88
1668866966	32.29042	-110.84578	1	20.55933380126953	15.164666175842285	45.15443801879883	742.2176513671875	37.56800079345703	3.9839999675750732	33.58399963378906	29.21933364868164	23.91866683959961	29.790666580200195	11.862667083740234	317	57	5	60.52470397949219	145	20	118	80
1802727053	32.319333	-111.086525	1	20.545333862304688	15.286666870117188	44.9925422668457	746.1829833984375	37.816001892089844	3.8399999141693115	33.97600173950195	29.181333541870117	23.959999084472656	29.70400047302246	11.64133358001709	310	56	5	60.19282913208008	141	19	113	80
1453427003	32.274475	-111.092658	1	20.074832916259766	14.451000213623047	44.176448822021484	727.54217529296875	36.79999923706055	4.0879998207092285	32.711997985839844	28.45400047302246	23.385332107543945	29.007999420166016	11.418000221252441	345	62	5	61.349246978759766	159	21	128	88
1418713236	32.864251	-110.697794	1	19.93866729736328	16.724000930786133	45.609249114990234	798.18267822265625	38.720001220703125	2.052000045776367	36.667999267578125	29.29133415222168	23.49333381652832	29.796001434326172	10.420000076293945	352	53	5	50.00356674194336	132	22	104	106
1703179800	32.350411	-111.121182	1	20.833999633789062	16.03266716003418	45.8076171875	756.82696533203125	38.61199951171875	3.611999988555908	35	29.652000427246094	24.2586669921875	30.1299991607666	11.804666519165039	291	53	5	59.46891403198242	131	18	106	75
1571115263	31.933238	-110.840667	1	19.49049949645996	16.996334075927734	48.26310348510742	722.24041748046875	37.599998474121094	2.384000062942505	35.215999603271484	27.847999572753906	22.748666763305664	28.41200065612793	10.915999412536621	366	79	5	74.27239227294922	191	22	159	81
1562950073	32.2811	-111.093361	1	20.074832916259766	14.451000213623047	44.176448822021484	727.54217529296875	36.79999923706055	4.0879998207092285	32.711997985839844	28.45400047302246	23.385332107543945	29.007999420166016	11.418000221252441	345	62	5	61.349246978759766	159	21	128	88
1671725421	34.784409	-113.607641	1	19.660165786743164	16.351667404174805	43.36391830444336	821.2593994140625	39.75600051879883	2.047999858856201	37.70800018310547	11.578666687011719	22.827999114990234	30.027999877929688	10.097332954406738	259	38	3	46.34406280517578	87	20	64	83
1586103219	33.067259	-111.451621	1	21.54483413696289	17.990999221801758	46.96407699584961	805.768310546875	41.540000915527344	3.2320001125335693	38.30800247192383	31.270000457763672	24.69733238220215	31.5	12.03066635131836	264	39	2	49.46873474121094	91	17	70	81
1088911334	33.361219	-111.735078	1	21.59433364868164	16.601999282836914	45.45504379272461	774.734130859375	40.54399871826172	4.019999980926514	36.52399826049805	31.054000854492188	24.46733283996582	31.121334075927734	12.465333938598633	249	33	2	46.06574630737305	82	16	61	78
